event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,200,train,0,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40838098526000977, 0.20271143317222595, 0.19279809296131134]",,,,0,,,0.4083807170391083,0.20271141827106476,0.19279806315898895,0.0,0.0,0.0,0.40838098526000977,0.20271143317222595,0.19279809296131134,,,,,,,,,,,,
forward,200,train,1,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4150228500366211, 0.19679175317287445, 0.20138715207576752]",,,,0,,,0.41502296924591064,0.19679167866706848,0.20138709247112274,0.0,0.0,0.0,0.4150228500366211,0.19679175317287445,0.20138715207576752,,,,,,,,,,,,
backward,200,train,0,1e-05,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
backward,200,train,1,1e-05,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
forward,200,val,0,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40838345885276794, 0.20271222293376923, 0.1927986443042755]",,,,0,,,0.4083835184574127,0.20271213352680206,0.19279862940311432,0.0,0.0,0.0,0.40838345885276794,0.20271222293376923,0.1927986443042755,0.3709964156150818,0.28241556882858276,0.9916167855262756,0.7715481519699097,0.6299576759338379,0.08085823059082031,0.9354848861694336,0.8128734230995178,0.49821069836616516,0.06286859512329102,0.9464016556739807,0.603329062461853
forward,200,val,1,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4150253236293793, 0.19679339230060577, 0.20138797163963318]",,,,0,,,0.4150255024433136,0.19679346680641174,0.20138795673847198,0.0,0.0,0.0,0.4150253236293793,0.19679339230060577,0.20138797163963318,0.7766208648681641,0.17120255529880524,0.8710327744483948,0.8765648007392883,0.6649685502052307,0.08372179418802261,0.7647531032562256,0.8335088491439819,0.6745237708091736,0.057691145688295364,0.7011223435401917,0.7312881946563721
forward,200,test,0,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40838345885276794, 0.20271222293376923, 0.1927986443042755]",,,,0,,,0.4083835184574127,0.20271213352680206,0.19279862940311432,0.0,0.0,0.0,0.40838345885276794,0.20271222293376923,0.1927986443042755,0.3709964156150818,0.28241556882858276,0.9916167855262756,0.7715481519699097,0.6299576759338379,0.08085823059082031,0.9354848861694336,0.8128734230995178,0.49821069836616516,0.06286858767271042,0.9464016556739807,0.603329062461853
forward,200,test,1,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4150253236293793, 0.19679339230060577, 0.20138797163963318]",,,,0,,,0.4150255024433136,0.19679346680641174,0.20138795673847198,0.0,0.0,0.0,0.4150253236293793,0.19679339230060577,0.20138797163963318,0.7766208648681641,0.17120255529880524,0.8710327744483948,0.8765648007392883,0.6649685502052307,0.08372180163860321,0.7647530436515808,0.8335088491439819,0.6745237708091736,0.057691145688295364,0.7011223435401917,0.7312881946563721
forward,250,train,0,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40849047899246216, 0.20273903012275696, 0.19284577667713165]",,,,0,,,0.40849044919013977,0.20273905992507935,0.19284576177597046,0.0,0.0,0.0,0.40849047899246216,0.20273903012275696,0.19284577667713165,,,,,,,,,,,,
forward,250,train,1,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41514715552330017, 0.19684875011444092, 0.2014397382736206]",,,,0,,,0.4151471257209778,0.1968488097190857,0.20143981277942657,0.0,0.0,0.0,0.41514715552330017,0.19684875011444092,0.2014397382736206,,,,,,,,,,,,
backward,250,train,0,1e-05,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
backward,250,train,1,1e-05,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,
forward,250,val,0,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40849268436431885, 0.2027393877506256, 0.19284668564796448]",,,,0,,,0.4084928333759308,0.20273937284946442,0.19284668564796448,0.0,0.0,0.0,0.40849268436431885,0.2027393877506256,0.19284668564796448,0.37085583806037903,0.2823965847492218,0.9916141629219055,0.7715652585029602,0.6296996474266052,0.0809297040104866,0.9348122477531433,0.8128147125244141,0.49660247564315796,0.06300034373998642,0.9463813304901123,0.6027584075927734
forward,250,val,1,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41514939069747925, 0.19685006141662598, 0.20144104957580566]",,,,0,,,0.4151495397090912,0.19684992730617523,0.20144091546535492,0.0,0.0,0.0,0.41514939069747925,0.19685006141662598,0.20144104957580566,0.776360809803009,0.1716669201850891,0.8710356950759888,0.8761211633682251,0.6649724841117859,0.08377373963594437,0.7615352869033813,0.8333765864372253,0.6752539277076721,0.057627931237220764,0.6978777647018433,0.7323108315467834
forward,250,test,0,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40849268436431885, 0.2027393877506256, 0.19284668564796448]",,,,0,,,0.4084928333759308,0.20273937284946442,0.19284668564796448,0.0,0.0,0.0,0.40849268436431885,0.2027393877506256,0.19284668564796448,0.37085583806037903,0.2823965847492218,0.9916141629219055,0.7715652585029602,0.6296996474266052,0.0809297040104866,0.9348122477531433,0.8128147125244141,0.49660247564315796,0.06300034373998642,0.9463813304901123,0.6027584075927734
forward,250,test,1,1e-05,3,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41514939069747925, 0.19685006141662598, 0.20144104957580566]",,,,0,,,0.4151495397090912,0.19684992730617523,0.20144091546535492,0.0,0.0,0.0,0.41514939069747925,0.19685006141662598,0.20144104957580566,0.776360809803009,0.1716669201850891,0.8710356950759888,0.8761211037635803,0.6649724841117859,0.08377373963594437,0.7615352869033813,0.8333765864372253,0.6752539277076721,0.057627931237220764,0.6978777647018433,0.7323108315467834
