epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,hop_scalars,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,hop_scalar_hop_0,hop_scalar_hop_1,hop_scalar_hop_2
50,test,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.3959631025791168, 0.20158816874027252, 0.18971796333789825]",0.3959630131721496,0.2015882283449173,0.1897179037332534,0.0,0.0,0.0,0.3959631025791168,0.2015881687402725,0.1897179633378982
50,test,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4020310640335083, 0.19475246965885162, 0.1947498321533203]",0.4020309746265411,0.1947525888681411,0.1947498321533203,0.0,0.0,0.0,0.4020310640335083,0.1947524696588516,0.1947498321533203
100,train,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.40697237849235535, 0.20248106122016907, 0.19244013726711273]",0.4069722294807434,0.2024811655282974,0.1924400627613067,0.0,0.0,0.0,0.4069723784923553,0.202481061220169,0.1924401372671127
100,train,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41371259093284607, 0.19631069898605347, 0.2005256712436676]",0.4137126207351684,0.1963106542825698,0.2005256712436676,0.0,0.0,0.0,0.413712590932846,0.1963106989860534,0.2005256712436676
100,val,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.4070259630680084, 0.20248626172542572, 0.19245502352714539]",0.4070261120796203,0.2024861425161361,0.1924549490213394,0.0,0.0,0.0,0.4070259630680084,0.2024862617254257,0.1924550235271453
100,val,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41376471519470215, 0.19632062315940857, 0.20056107640266418]",0.4137648642063141,0.196320578455925,0.2005611211061477,0.0,0.0,0.0,0.4137647151947021,0.1963206231594085,0.2005610764026641
100,test,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.4070259630680084, 0.20248626172542572, 0.19245502352714539]",0.4070261120796203,0.2024861425161361,0.1924549490213394,0.0,0.0,0.0,0.4070259630680084,0.2024862617254257,0.1924550235271453
100,test,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.41376471519470215, 0.19632062315940857, 0.20056107640266418]",0.4137648642063141,0.196320578455925,0.2005611211061477,0.0,0.0,0.0,0.4137647151947021,0.1963206231594085,0.2005610764026641
150,train,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.4082312285900116, 0.2026858925819397, 0.19274675846099854]",0.4082310795783996,0.2026859074831009,0.1927467286586761,0.0,0.0,0.0,0.4082312285900116,0.2026858925819397,0.1927467584609985
150,train,1,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 5]","[false, false, false]","[0.4148852527141571, 0.1966979056596756, 0.20129595696926117]",0.4148852229118347,0.1966978758573532,0.2012958824634552,0.0,0.0,0.0,0.4148852527141571,0.1966979056596756,0.2012959569692611
150,val,0,3,,,,"[183, 3]","[183, 3]",,"[183, 3, 64]","[false, false, false]","[0.4082360863685608, 0.20268671214580536, 0.19274865090847015]",0.4082361757755279,0.2026866972446441,0.1927486211061477,0.0,0.0,0.0,0.4082360863685608,0.2026867121458053,0.1927486509084701
