epoch,phase,layer_id,num_hops,lambda_higher,one_hop_weight,higher_order_weight,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2
200,test,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.7533690929412842,0.246630847454071,,0.1886300295591354,0.1886300593614578
200,test,1,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.366779088973999,0.633220911026001,,0.0387135818600654,0.0387135818600654
200,test,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.6766780614852905,0.3233219087123871,,0.0328326784074306,0.0328326784074306
250,train,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.7529556155204773,0.2470444589853286,,0.1887840330600738,0.1887840330600738
250,train,1,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.378875732421875,0.6211241483688354,,0.0729291960597038,0.0729292035102844
250,train,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.6493156552314758,0.3506842851638794,,0.0706691294908523,0.0706690996885299
250,val,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.7529528737068176,0.2470470815896988,,0.1887857466936111,0.1887857317924499
250,val,1,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.3664356470108032,0.6335643529891968,,0.0388150662183761,0.0388150587677955
250,val,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.6762610077857971,0.3237389624118805,,0.0325445458292961,0.0325445532798767
250,test,0,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.7529528737068176,0.2470470815896988,,0.1887857466936111,0.1887857317924499
250,test,1,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 32]","[false, false, false]",,0.3664356470108032,0.6335643529891968,,0.0388150662183761,0.0388150587677955
250,test,2,3,0.25,0.75,0.25,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",,0.6762610673904419,0.3237389624118805,,0.0325445421040058,0.0325445532798767
