event,epoch,phase,layer_id,lr,num_hops,weights_shape,hop_logits_shape,higher_logits_shape,messages_shape,empty_hops,lambda_higher,one_hop_weight,higher_order_weight,weight_hop_offset,grad_norm,lambda_grad_norm,weights_mean_hop_0,weights_mean_hop_1,weights_mean_hop_2,weights_std_hop_0,weights_std_hop_1,weights_std_hop_2,attention_norm_entropy_mean_hop_0,attention_mae_from_baseline_hop_0,attention_max_abs_diff_from_baseline_hop_0,attention_cosine_to_baseline_hop_0,attention_norm_entropy_mean_hop_1,attention_mae_from_baseline_hop_1,attention_max_abs_diff_from_baseline_hop_1,attention_cosine_to_baseline_hop_1,attention_norm_entropy_mean_hop_2,attention_mae_from_baseline_hop_2,attention_max_abs_diff_from_baseline_hop_2,attention_cosine_to_baseline_hop_2
forward,200,train,0,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.7924429178237915,0.20755700767040253,,0.20259688794612885,0.20259691774845123,,,,,,,,,,,,
forward,200,train,1,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.3785863518714905,0.6214136481285095,,0.124906525015831,0.12490654736757278,,,,,,,,,,,,
forward,200,train,2,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.47864192724227905,0.5213579535484314,,0.04947241395711899,0.049472417682409286,,,,,,,,,,,,
backward,200,train,0,1e-05,3,,,,,,1.0,0.0,1.0,0,0.0466385528880955,,,,,,,,,,,,,,,,,,,
backward,200,train,1,1e-05,3,,,,,,1.0,0.0,1.0,0,0.13144740974455577,,,,,,,,,,,,,,,,,,,
backward,200,train,2,1e-05,3,,,,,,1.0,0.0,1.0,0,0.10884715008818846,,,,,,,,,,,,,,,,,,,
forward,200,val,0,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.7924401164054871,0.20755992829799652,,0.20259779691696167,0.20259778201580048,,,,,,,,,,,,
forward,200,val,1,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.3724156618118286,0.6275845170021057,,0.12309766560792923,0.12309765070676804,,,,,,,,,,,,
forward,200,val,2,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 5]","[false, false, false]",1.0,0.0,1.0,1,,,,0.4763343632221222,0.5236656069755554,,0.03276757523417473,0.03276759758591652,,,,,,,,,,,,
forward,200,test,0,1e-05,3,"[183, 2]",,"[183, 2]","[183, 2, 64]","[false, false, false]",1.0,0.0,1.0,1,,,,0.7924401164054871,0.20755992829799652,,0.20259779691696167,0.20259778201580048,,,,,,,,,,,,
